,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2016-usopen-1101,2016,US Open,1101,Novak Djokovic,Jerzy Janowicz,,,,,,,,,,,,,,
1,2016-usopen-1105,2016,US Open,1105,John Isner,Frances Tiafoe,,,,,,,,,,,,,,
2,2016-usopen-1106,2016,US Open,1106,Jordan Thompson,Steve Darcis,,,,,,,,,,,,,,
3,2016-usopen-1108,2016,US Open,1108,Kyle Edmund,Richard Gasquet,,,,,,,,,,,,,,
4,2016-usopen-1109,2016,US Open,1109,Jo Wilfried,Guido Andreozzi,,,,,,,,,,,,,,
5,2016-usopen-1110,2016,US Open,1110,James Duckworth,Robin Haase,,,,,,,,,,,,,,
6,2016-usopen-1111,2016,US Open,1111,Vasek Pospisil,Jozef Kovalik,,,,,,,,,,,,,,
7,2016-usopen-1112,2016,US Open,1112,Yoshihito Nishioka,Kevin Anderson,,,,,,,,,,,,,,
8,2016-usopen-1113,2016,US Open,1113,Jack Sock,Taylor Fritz,,,,,,,,,,,,,,
9,2016-usopen-1116,2016,US Open,1116,Rogerio Dutra,Marin Cilic,,,,,,,,,,,,,,
10,2016-usopen-1117,2016,US Open,1117,Rafael Nadal,Denis Istomin,,,,,,,,,,,,,,
11,2016-usopen-1123,2016,US Open,1123,Brian Baker,Federico Delbonis,,,,,,,,,,,,,,
12,2016-usopen-1125,2016,US Open,1125,Gael Monfils,Gilles Muller,,,,,,,,,,,,,,
13,2016-usopen-1132,2016,US Open,1132,Dustin Brown,Milos Raonic,,,,,,,,,,,,,,
14,2016-usopen-1133,2016,US Open,1133,Dominic Thiem,John Millman,,,,,,,,,,,,,,
15,2016-usopen-1136,2016,US Open,1136,Janko Tipsarevic,Sam Querrey,,,,,,,,,,,,,,
16,2016-usopen-1137,2016,US Open,1137,Steve Johnson,Evgeny Donskoy,,,,,,,,,,,,,,
17,2016-usopen-1138,2016,US Open,1138,Juan Martin,Diego Schwartzman,,,,,,,,,,,,,,
18,2016-usopen-1141,2016,US Open,1141,Nick Kyrgios,Aljaz Bedene,,,,,,,,,,,,,,
19,2016-usopen-1144,2016,US Open,1144,Damir Dzumhur,Bernard Tomic,,,,,,,,,,,,,,
20,2016-usopen-1145,2016,US Open,1145,Alexander Zverev,Daniel Brands,,,,,,,,,,,,,,
21,2016-usopen-1148,2016,US Open,1148,Fernando Verdasco,Stan Wawrinka,,,,,,,,,,,,,,
22,2016-usopen-1149,2016,US Open,1149,Kei Nishikori,Benjamin Becker,,,,,,,,,,,,,,
23,2016-usopen-1152,2016,US Open,1152,Nicolas Mahut,Philipp Kohlschreiber,,,,,,,,,,,,,,
24,2016-usopen-1154,2016,US Open,1154,Donald Young,Jan Lennard,,,,,,,,,,,,,,
25,2016-usopen-1156,2016,US Open,1156,Jared Donaldson,David Goffin,,,,,,,,,,,,,,
26,2016-usopen-1157,2016,US Open,1157,Feliciano Lopez,Borna Coric,,,,,,,,,,,,,,
27,2016-usopen-1164,2016,US Open,1164,Lukas Rosol,Andy Murray,,,,,,,,,,,,,,
28,2016-usopen-1203,2016,US Open,1203,John Isner,Steve Darcis,,,,,,,,,,,,,,
29,2016-usopen-1204,2016,US Open,1204,Ernesto Escobedo,Kyle Edmund,,,,,,,,,,,,,,
30,2016-usopen-1205,2016,US Open,1205,Jo Wilfried,James Duckworth,,,,,,,,,,,,,,
31,2016-usopen-1206,2016,US Open,1206,Vasek Pospisil,Kevin Anderson,,,,,,,,,,,,,,
32,2016-usopen-1207,2016,US Open,1207,Jack Sock,Mischa Zverev,,,,,,,,,,,,,,
33,2016-usopen-1208,2016,US Open,1208,Sergiy Stakhovsky,Marin Cilic,,,,,,,,,,,,,,
34,2016-usopen-1209,2016,US Open,1209,Rafael Nadal,Andreas Seppi,,,,,,,,,,,,,,
35,2016-usopen-1211,2016,US Open,1211,Lucas Pouille,Marco Chiudinelli,,,,,,,,,,,,,,
