,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2019-wimbledon-1101,2019,Wimbledon,1101,Novak Djokovic,Philipp Kohlschreiber,,,,,,,,,,,,,,
1,2019-wimbledon-1102,2019,Wimbledon,1102,Denis Kudla,Malek Jaziri,,,,,,,,,,,,,,
2,2019-wimbledon-1103,2019,Wimbledon,1103,Ernests Gulbis,Leonardo Mayer,,,,,,,,,,,,,,
3,2019-wimbledon-1104,2019,Wimbledon,1104,Hubert Hurkacz,Dusan Lajovic,,,,,,,,,,,,,,
4,2019-wimbledon-1105,2019,Wimbledon,1105,Felix Auger,Vasek Pospisil,,,,,,,,,,,,,,
5,2019-wimbledon-1106,2019,Wimbledon,1106,Grigor Dimitrov,Corentin Moutet,,,,,,,,,,,,,,
6,2019-wimbledon-1107,2019,Wimbledon,1107,Lorenzo Sonego,Marcel Granollers,,,,,,,,,,,,,,
7,2019-wimbledon-1108,2019,Wimbledon,1108,Ugo Humbert,Gael Monfils,,,,,,,,,,,,,,
8,2019-wimbledon-1109,2019,Wimbledon,1109,Daniil Medvedev,Paolo Lorenzi,,,,,,,,,,,,,,
9,2019-wimbledon-1110,2019,Wimbledon,1110,Pablo Carreno,Alexei Popyrin,,,,,,,,,,,,,,
10,2019-wimbledon-1111,2019,Wimbledon,1111,Jeremy Chardy,Martin Klizan,,,,,,,,,,,,,,
11,2019-wimbledon-1112,2019,Wimbledon,1112,Bradley Klahn,David Goffin,,,,,,,,,,,,,,
12,2019-wimbledon-1113,2019,Wimbledon,1113,Kyle Edmund,Jaume Munar,,,,,,,,,,,,,,
13,2019-wimbledon-1114,2019,Wimbledon,1114,Kamil Majchrzak,Fernando Verdasco,,,,,,,,,,,,,,
14,2019-wimbledon-1115,2019,Wimbledon,1115,Andrea Arnaboldi,Ivo Karlovic,,,,,,,,,,,,,,
15,2019-wimbledon-1116,2019,Wimbledon,1116,Thomas Fabbiano,Stefanos Tsitsipas,,,,,,,,,,,,,,
16,2019-wimbledon-1117,2019,Wimbledon,1117,Kevin Anderson,Pierre Hugues,,,,,,,,,,,,,,
17,2019-wimbledon-1118,2019,Wimbledon,1118,Janko Tipsarevic,Yoshihito Nishioka,,,,,,,,,,,,,,
18,2019-wimbledon-1119,2019,Wimbledon,1119,Andreas Seppi,Nicolas Jarry,,,,,,,,,,,,,,
19,2019-wimbledon-1120,2019,Wimbledon,1120,Marius Copil,Guido Pella,,,,,,,,,,,,,,
20,2019-wimbledon-1121,2019,Wimbledon,1121,Stan Wawrinka,Ruben Bemelmans,,,,,,,,,,,,,,
21,2019-wimbledon-1122,2019,Wimbledon,1122,Cedrik Marcel,Reilly Opelka,,,,,,,,,,,,,,
22,2019-wimbledon-1123,2019,Wimbledon,1123,Jozef Kovalik,Robin Haase,,,,,,,,,,,,,,
23,2019-wimbledon-1124,2019,Wimbledon,1124,Prajnesh Gunneswaran,Milos Raonic,,,,,,,,,,,,,,
24,2019-wimbledon-1125,2019,Wimbledon,1125,Karen Khachanov,Soonwoo Kwon,,,,,,,,,,,,,,
25,2019-wimbledon-1126,2019,Wimbledon,1126,Marcos Giron,Feliciano Lopez,,,,,,,,,,,,,,
26,2019-wimbledon-1127,2019,Wimbledon,1127,Steve Darcis,Mischa Zverev,,,,,,,,,,,,,,
27,2019-wimbledon-1128,2019,Wimbledon,1128,Peter Gojowczyk,Roberto Bautista,,,,,,,,,,,,,,
28,2019-wimbledon-1129,2019,Wimbledon,1129,Benoit Paire,Juan Ignacio,,,,,,,,,,,,,,
29,2019-wimbledon-1130,2019,Wimbledon,1130,Roberto Carballes,Miomir Kecmanovic,,,,,,,,,,,,,,
30,2019-wimbledon-1131,2019,Wimbledon,1131,Pablo Cuevas,Damir Dzumhur,,,,,,,,,,,,,,
31,2019-wimbledon-1132,2019,Wimbledon,1132,Jiri Vesely,Alexander Zverev,,,,,,,,,,,,,,
32,2019-wimbledon-1133,2019,Wimbledon,1133,Dominic Thiem,Sam Querrey,,,,,,,,,,,,,,
33,2019-wimbledon-1134,2019,Wimbledon,1134,Cristian Garin,Andrey Rublev,,,,,,,,,,,,,,
34,2019-wimbledon-1135,2019,Wimbledon,1135,Hugo Dellien,John Millman,,,,,,,,,,,,,,
35,2019-wimbledon-1136,2019,Wimbledon,1136,Guido Andreozzi,Laslo Djere,,,,,,,,,,,,,,
36,2019-wimbledon-1137,2019,Wimbledon,1137,Gilles Simon,Salvatore Caruso,,,,,,,,,,,,,,
37,2019-wimbledon-1138,2019,Wimbledon,1138,Yasutaka Uchiyama,Tennys Sandgren,,,,,,,,,,,,,,
38,2019-wimbledon-1139,2019,Wimbledon,1139,Marton Fucsovics,Dennis Novak,,,,,,,,,,,,,,
39,2019-wimbledon-1140,2019,Wimbledon,1140,Frances Tiafoe,Fabio Fognini,,,,,,,,,,,,,,
40,2019-wimbledon-1141,2019,Wimbledon,1141,Marin Cilic,Adrian Mannarino,,,,,,,,,,,,,,
41,2019-wimbledon-1142,2019,Wimbledon,1142,Joao Sousa,Paul Jubb,,,,,,,,,,,,,,
42,2019-wimbledon-1143,2019,Wimbledon,1143,Federico Delbonis,Daniel Evans,,,,,,,,,,,,,,
43,2019-wimbledon-1144,2019,Wimbledon,1144,James Ward,Nikoloz Basilashvili,,,,,,,,,,,,,,
44,2019-wimbledon-1145,2019,Wimbledon,1145,Denis Shapovalov,Ricardas Berankis,,,,,,,,,,,,,,
45,2019-wimbledon-1146,2019,Wimbledon,1146,Bernard Tomic,Jo Wilfried,,,,,,,,,,,,,,
